Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
javapoet,com.squareup.javapoet,TypeName,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
javapoet,com.squareup.javapoet,TypeSpec,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: kind; name; anonymousTypeArguments; javadoc; annotations; modifiers; typeVariables; superclass; superinterfaces; enumConstants; fieldSpecs; staticBlock; initializerBlock; methodSpecs; typeSpecs; nestedTypesSimpleNames; originatingElements; alwaysQualifiedNames; implicitFieldModifiers; implicitMethodModifiers; implicitTypeModifiers; asMemberModifiers; kind; name; anonymousTypeArguments; javadoc; superclass; staticBlock; initializerBlock; enumConstants; annotations; modifiers; typeVariables; superinterfaces; fieldSpecs; methodSpecs; typeSpecs; originatingElements; alwaysQualifiedNames
javapoet,com.squareup.javapoet,TypeSpec.Kind,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: implicitFieldModifiers; implicitMethodModifiers; implicitTypeModifiers; asMemberModifiers
javapoet,com.squareup.javapoet,TypeSpec.Kind,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,TypeSpec.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,TypeSpec.Builder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: kind; name; anonymousTypeArguments; javadoc; superclass; staticBlock; initializerBlock; enumConstants; annotations; modifiers; typeVariables; superinterfaces; fieldSpecs; methodSpecs; typeSpecs; originatingElements; alwaysQualifiedNames
javapoet,com.squareup.javapoet,TypeSpec.Builder,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: kind; name; anonymousTypeArguments; javadoc; superclass; staticBlock; initializerBlock; enumConstants; annotations; modifiers; typeVariables; superinterfaces; fieldSpecs; methodSpecs; typeSpecs; originatingElements; alwaysQualifiedNames
javapoet,com.squareup.javapoet,TypeVariableName,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: name; bounds
javapoet,com.squareup.javapoet,WildcardTypeName,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: upperBounds; lowerBounds
javapoet,com.squareup.javapoet,AbstractTypesTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods
javapoet,com.squareup.javapoet,AbstractTypesTest.Parameterized,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,AbstractTypesTest.Parameterized,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,AbstractTypesTest.Recursive,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,AbstractTypesTest.Recursive,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest.MockGenericArrayType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: elementType
javapoet,com.squareup.javapoet,AnnotatedTypeNameTest.MockGenericArrayType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,AnnotationSpecTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: compilation
javapoet,com.squareup.javapoet,AnnotationSpecTest.Breakfast,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,AnnotationSpecTest.Breakfast,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,AnnotationSpecTest.IsAnnotated,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,AnnotationSpecTest.IsAnnotated,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,ClassNameTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: compilationRule; inner
javapoet,com.squareup.javapoet,ClassNameTest.OuterClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,ClassNameTest.OuterClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,ClassNameTest.InnerClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,ClassNameTest.InnerClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,ClassNameTest.$Outer,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,ClassNameTest.$Outer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,ClassNameTest.$Inner,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,ClassNameTest.$Inner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,CodeBlockTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods
javapoet,com.squareup.javapoet,CodeBlockTest.CodeBlockJoiner,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: delimiter; builder; first
javapoet,com.squareup.javapoet,CodeBlockTest.CodeBlockJoiner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,FileReadingTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: temporaryFolder
javapoet,com.squareup.javapoet,FileWritingTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: tmp; fs; fsRoot; filer
javapoet,com.squareup.javapoet,JavaFileTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: compilation
javapoet,com.squareup.javapoet,JavaFileTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 45 public methods
javapoet,com.squareup.javapoet,JavaFileTest.Foo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,JavaFileTest.Foo,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,JavaFileTest.NestedTypeA,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,JavaFileTest.NestedTypeA,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,JavaFileTest.NestedTypeB,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,JavaFileTest.NestedTypeB,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,JavaFileTest.FooInterface,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,JavaFileTest.NestedTypeA,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,JavaFileTest.NestedTypeA,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,JavaFileTest.NestedTypeB,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,JavaFileTest.NestedTypeB,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,JavaFileTest.Parent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,JavaFileTest.Parent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,JavaFileTest.Pattern,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,JavaFileTest.Pattern,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,JavaFileTest.ParentInterface,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,JavaFileTest.Optional,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,JavaFileTest.Optional,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,MethodSpecTest,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: compilation; elements; types
javapoet,com.squareup.javapoet,MethodSpecTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 35 public methods
javapoet,com.squareup.javapoet,MethodSpecTest.Everything,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,MethodSpecTest.Everything,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,MethodSpecTest.Generics,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,MethodSpecTest.Generics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,MethodSpecTest.HasAnnotation,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,MethodSpecTest.HasAnnotation,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,MethodSpecTest.Throws,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,MethodSpecTest.ExtendsOthers,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,MethodSpecTest.ExtendsIterableWithDefaultMethods,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
javapoet,com.squareup.javapoet,MethodSpecTest.FinalClass,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
javapoet,com.squareup.javapoet,MethodSpecTest.FinalClass,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
